brand_name,url_string,category_name
Coppertone,www.coppertone.com/,"Personal Care"
"Banana Boat",www.bananaboat.com,"Personal Care"
Carefree,www.carefreeliners.com/,"Personal Care"
"Nivea For Men",www.niveaformenusa.com/,"Personal Care"
Toyota,www.toyota.com/,Automotive
Volkswagen,www.volkswagen.com/,Automotive
Rolls-Royce,www.rolls-roycemotorcars.com/,Automotive
Lamborghini,lamborghini.com,Automotive
Chrysler,www.chrysler.com/,Automotive
Fiat,www.fiat.com/,Automotive
Hyundai,www.hyundaiusa.com/,Automotive
Kia,www.kia.com/worldwide/,Automotive
Lexus,www.lexus.com/,Automotive
"Land Rover",www.landrover.com/us/en/lr/,Automotive
"Aston Martin",www.astonmartin.com/,Automotive
Mercedes-Benz,www5.mercedes-benz.com/,Automotive
Ferrari,ferrari.com,Automotive
Audi,www.audiusa.com/,Automotive
Infiniti,www.infiniti.com/,Automotive
Porsche,www.porsche.com/usa/,Automotive
Cadillac,www.cadillac.com/,Automotive
Acura,www.acura.com/,Automotive
Ford,www.ford.com/,Automotive
Honda,www.honda.com/,Automotive
Jaguar,www.jaguar.com/index.html,Automotive
Lotus,www.lotuscars.com/,Automotive
Maserati,www.maserati.com/,Automotive
"Renovo Motors",vimeo.com/renovomotors,Automotive
GMC,www.gmc.com/,Automotive
Dodge,www.dodge.com/,Automotive
RAM,www.ramtrucks.com/,Automotive
Tesla,www.teslamotors.com/,Automotive
Marussia,marussiamotors.ru/,Automotive
Chevrolet,www.chevrolet.com/,Automotive
Jeep,www.jeep.com/,Automotive
Bentley,www.bentleymotors.com/,Automotive
Subaru,www.subaru-global.com/,Automotive
Mazda,www.mazdausa.com/,Automotive
Nissan,www.nissanusa.com/,Automotive
"Richard Gasquet",www.richardgasquet.net/,Celebrity
"Roger Federer",www.rogerfederer.com/,Celebrity
"Serena Williams",serenawilliams.com/,Celebrity
